title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Please do an edition for nasi lemak. I recommend soul food catering nasi lemak. Humble place, friendly owners, good fusion food nasi lemak :D"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Thank you for bringing back Food King show. The way I love it.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),14:23 OH MY GOD SO HANDSOME??
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Food King is the best but I want more Do it for the money it's my Favourite!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Omg Ryan have a new favourite peranakan restaurant
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Damn cb Sia last part 🤣
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The chicken rice stall owners son is also a tik tok star btw...
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,15 hours ago (edited),"The chicken rice’s owner’s son has a tik tok account. His username is Soki Wu





Your welcome"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Aiken lookin smart leh now.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Maybe all the tourists went to the Delicious Boneless Chicken Rice so thats why they said chicken rice is their favourite food in Singapore...
